InstructorID,SubmissionID,Text,Grade,GivenAt
86,498,End base our spring than.,62.45,2024-04-26 13:02
59,795,Painting start remember right serious letter staff.,87.23,2024-02-03 13:13
22,792,Generation approach street pay.,68.84,2024-02-09 05:50
49,188,Food certain why hit candidate sister some.,61.17,2024-04-27 11:04
87,235,Response investment read election eight power election.,85.69,2024-03-07 06:34
14,104,Worry yet former military himself big today.,58.22,2024-03-04 03:12
17,759,The report country space smile white.,98.94,2024-03-30 03:39
100,25,Prove sister agreement agency seat recently property care.,71.9,2024-04-23 07:40
58,814,Increase church specific task marriage hand.,84.95,2024-01-17 21:15
3,726,Nothing yeah story very as.,76.26,2024-02-20 08:11
58,651,Everything level doctor story along wide.,77.17,2024-02-16 10:03
78,486,Item past card.,51.68,2024-03-23 11:35
79,571,School son practice general.,85.1,2024-03-05 02:57
8,67,Who personal work every heavy expert.,54.36,2024-04-15 16:11
57,487,Necessary film play agreement newspaper low minute.,70.07,2024-01-14 14:58
40,929,Affect see whether together above.,96.39,2024-02-08 21:44
17,124,Enjoy than personal player.,51.21,2024-04-22 02:30
9,585,Cold usually brother to prepare least size large.,59.34,2024-04-06 12:02
29,457,Audience police environmental truth billion.,82.99,2024-04-04 13:04
95,383,Chair level not.,77.87,2024-03-29 03:04
86,69,Rule now drug simply media however.,98.54,2024-04-10 18:09
22,597,Line material seven contain.,70.66,2024-04-21 14:24
96,41,Create open center stop provide quality fund.,61.61,2024-03-13 03:30
19,308,Season various moment law smile team would western.,56.66,2024-01-18 19:39
70,12,Tell give ground threat girl.,68.59,2024-03-28 09:59
88,808,North many form really.,50.61,2024-01-12 06:42
91,682,Instead green great.,63.29,2024-04-22 06:21
91,10,Several ever chance foreign mother factor on.,65.17,2024-04-13 17:50
17,328,Born husband tough ability.,96.04,2024-04-01 22:18
86,821,Compare one environmental growth.,60.68,2024-02-02 10:49
86,490,Feel care protect age management.,73.94,2024-03-26 17:00
12,177,Teach north allow and summer.,69.39,2024-02-06 01:51
95,880,Onto cut doctor door heavy institution American.,90.19,2024-02-10 09:14
19,684,Sell discuss rest rock.,56.35,2024-03-09 12:56
88,149,Traditional claim clearly teacher he.,93.06,2024-01-22 18:11
8,490,Article work side energy security near crime.,75.67,2024-01-04 17:08
8,580,Discuss stay mouth finally adult moment.,58.24,2024-04-05 11:02
78,860,Measure painting who everyone mission short.,81.28,2024-02-20 20:56
34,848,Professional its nothing current civil.,63.12,2024-01-30 14:06
7,771,Lot between clear positive you project.,71.59,2024-04-14 21:54
51,800,West number position different.,69.73,2024-02-10 09:41
29,688,Magazine resource sort others tough.,86.32,2024-02-14 04:55
58,401,Avoid stop community.,72.49,2024-02-26 14:30
34,767,Under investment section stuff.,95.38,2024-03-18 00:20
86,630,Different actually skin.,97.47,2024-03-26 22:53
88,911,Shoulder alone option challenge.,70.33,2024-04-14 04:25
20,248,Price wait thousand threat from.,79.95,2024-01-10 03:22
47,510,Every land organization early bar see center.,88.65,2024-02-18 04:42
79,615,Rather run subject say point.,51.55,2024-03-21 05:46
8,576,Thank local material rise.,54.24,2024-01-04 06:20
19,792,Travel green source many until mention.,82.07,2024-02-15 06:31
58,285,Painting something new painting however.,69.66,2024-02-17 23:34
84,666,Back system pressure account TV sound quite.,90.34,2024-01-20 13:26
52,311,Table service ready east still table direction.,91.82,2024-01-20 05:04
51,942,Blue myself your impact stuff wonder pay.,65.41,2024-02-02 11:22
86,524,Company station let official without.,74.39,2024-02-08 23:37
96,946,Fill above many he yeah role side.,84.11,2024-03-20 06:35
100,141,Pretty moment loss how again land.,73.47,2024-01-08 00:55
9,709,Per daughter environmental claim toward time own bar.,74.48,2024-04-19 17:47
52,546,Along language candidate vote produce protect perform.,75.85,2024-04-11 13:47
8,258,Involve family interesting control economic government.,81.46,2024-03-10 04:21
45,896,Suffer crime fine stage air parent.,64.45,2024-01-14 15:02
88,234,Thousand ago radio.,65.65,2024-01-30 10:13
51,929,Shake step data member.,61.97,2024-02-17 17:28
29,357,Prove adult nice notice news.,98.62,2024-01-20 13:49
29,846,National drug station new.,66.75,2024-03-16 05:38
78,286,Action fire his.,63.2,2024-01-20 21:57
79,686,Shoulder then attention laugh thank nor.,82.96,2024-01-13 03:34
17,822,Fact professional can rest.,88.5,2024-02-22 02:41
47,195,Just during short analysis create should.,84.36,2024-03-10 16:35
58,730,First win far president police.,77.14,2024-04-12 13:33
51,210,Detail data before drop.,89.9,2024-04-23 19:46
91,178,Other discover recent room front word page.,55.86,2024-01-16 01:07
47,654,Board focus personal second billion five financial speech.,62.35,2024-01-29 15:10
52,188,Course occur cultural her century ability.,94.36,2024-02-07 23:27
87,384,Image center action pick structure.,62.28,2024-03-09 12:44
86,735,Vote deal thank church.,63.54,2024-03-15 20:06
100,471,Set so all any arrive factor.,76.87,2024-02-10 15:10
19,261,Newspaper draw wide technology left meet treatment.,80.3,2024-03-21 03:38
44,128,Describe sometimes price improve.,98.33,2024-03-24 07:26
96,403,Newspaper me watch measure.,50.16,2024-03-28 06:17
29,832,Culture short sister available southern just.,96.71,2024-02-03 01:32
87,466,Best certainly source allow point.,96.74,2024-02-04 00:09
96,598,Old responsibility some relate check enough teacher billion.,91.06,2024-03-25 10:02
88,582,Before whole five approach threat significant smile role.,71.02,2024-02-19 10:02
45,53,Action take weight necessary.,99.08,2024-02-20 18:08
87,610,Property after artist cost message.,55.4,2024-03-10 20:35
79,397,Ahead couple especially four.,65.66,2024-03-04 22:03
17,186,Across walk through trial.,56.15,2024-01-11 08:35
7,43,Stock serve go always.,92.36,2024-04-19 16:55
45,111,Financial statement herself push behind particular.,77.42,2024-02-19 14:22
45,131,Approach white several place.,89.19,2024-04-09 11:28
79,210,Lawyer fact pick investment son.,52.0,2024-03-21 14:50
100,62,Along behind rule writer recent.,50.49,2024-03-17 16:03
52,640,Weight even shoulder allow anything beyond.,85.98,2024-04-23 05:29
47,441,Measure husband first daughter.,62.03,2024-01-16 11:15
34,634,Seek travel maintain.,80.18,2024-01-22 08:31
45,951,Foreign street environmental director.,77.63,2024-01-30 00:35
40,156,Trial identify respond seven dinner.,51.15,2024-04-03 07:12
51,781,Director national until pretty test range author.,60.99,2024-04-19 22:28
59,209,Find suddenly window race ability.,77.09,2024-01-20 04:44
3,978,No develop charge sure.,58.02,2024-02-14 05:26
100,759,Building staff safe vote health.,80.71,2024-04-02 04:26
45,829,Late point current affect send.,74.31,2024-02-14 16:43
12,253,Continue with citizen foot subject site three.,92.27,2024-01-22 17:02
34,248,Dream within before beat cost.,72.98,2024-04-16 16:33
20,914,Everyone building keep right official.,58.68,2024-04-13 08:16
34,287,Anything serve truth owner prove popular half.,55.37,2024-04-08 15:18
40,688,Ahead of lose out.,65.42,2024-04-24 08:26
59,457,Whether prove successful fine class live detail.,60.67,2024-02-11 08:14
12,868,In do picture sound.,54.1,2024-03-01 06:37
82,454,Point southern concern model.,57.52,2024-02-12 10:49
59,872,Learn it song program these lose.,80.75,2024-04-07 05:22
59,24,Speak I along page response population not.,77.06,2024-02-28 21:31
45,211,May certain some suddenly.,94.09,2024-02-21 01:58
87,448,New professor reflect paper certain arrive.,89.48,2024-03-07 06:41
91,351,Hold stage home action market cause.,66.1,2024-04-07 16:03
87,520,Institution wall win respond.,80.78,2024-03-14 09:33
82,622,Bank generation big hot space production.,60.27,2024-03-07 12:53
19,721,Position born level character several break.,53.87,2024-03-24 10:17
59,173,But east fight mind could.,89.4,2024-01-06 04:28
31,224,Travel usually while wind ok prevent.,65.71,2024-01-07 17:54
70,281,Woman fund coach.,62.44,2024-03-13 21:46
47,921,Late these expect assume black us.,61.54,2024-04-14 10:46
86,984,Quite animal live ask feel small.,51.21,2024-03-31 01:49
100,250,State eight goal.,82.27,2024-01-16 15:04
8,464,Need source challenge relationship.,85.65,2024-03-04 15:57
3,399,Station performance people thing professor.,78.58,2024-01-06 14:57
58,391,High body information our may about.,51.02,2024-04-06 11:13
79,742,Statement federal worker dinner push truth hear.,72.27,2024-03-12 23:40
79,92,Time during view record medical growth.,71.87,2024-01-04 05:44
57,235,Help later issue indeed.,63.46,2024-03-07 18:44
44,491,Send sport write vote especially.,57.9,2024-03-15 10:21
34,875,Pattern indicate campaign include for trip.,79.27,2024-01-08 00:06
91,614,Central cell today arm activity nearly.,76.55,2024-02-01 18:26
29,867,Born agreement discuss skill floor partner character.,51.81,2024-04-10 01:04
59,374,Almost nature identify six hotel.,52.4,2024-01-09 10:24
34,93,Indeed skin to your they bank civil.,85.36,2024-01-26 05:48
20,95,Each lawyer newspaper drug.,80.77,2024-03-06 17:33
96,52,Along weight score local these.,62.52,2024-04-27 19:48
91,955,These market personal adult.,62.76,2024-03-12 16:07
19,301,Everybody campaign miss else.,57.08,2024-03-04 17:17
79,286,Final race mouth yourself.,93.55,2024-04-18 03:15
22,235,Environmental affect these nation.,70.47,2024-03-19 11:16
20,534,Evidence other act state PM go hear wonder.,53.34,2024-04-01 07:16
9,636,Suffer real history force tax participant anything.,52.61,2024-01-26 16:38
22,296,Campaign ahead picture school different.,77.4,2024-01-21 07:14
79,917,Card lawyer break chair campaign white I.,58.4,2024-04-23 07:49
3,828,She month be family mean use system fire.,98.07,2024-01-18 08:13
8,69,About energy modern lead test goal.,88.64,2024-03-22 15:20
45,837,Interesting herself space right indeed kitchen always.,89.16,2024-04-22 00:24
95,128,Side glass number weight after read since.,88.95,2024-01-31 13:57
96,780,Degree blood Republican save long accept ago.,68.45,2024-03-21 22:19
22,157,Forward industry most issue person floor type.,76.68,2024-03-27 12:19
22,252,Look standard understand still population public.,89.35,2024-01-23 03:00
51,876,Blood laugh hundred every.,58.59,2024-02-12 21:51
45,526,System level outside write three standard impact.,90.67,2024-02-09 19:49
88,517,Always choice however.,94.74,2024-04-22 02:14
70,139,Production Republican here these growth attention.,58.35,2024-04-08 02:40
86,160,Field change process or eye middle source right.,92.33,2024-01-15 04:06
40,883,Item various game authority.,80.45,2024-03-23 04:20
58,588,This shoulder all.,89.16,2024-01-28 16:49
84,252,Step into defense agreement be attention table.,72.75,2024-02-03 19:02
14,731,Participant under concern interesting special owner.,62.41,2024-03-27 13:12
4,69,Growth by idea require clearly thus get.,99.14,2024-02-07 16:57
17,1,Worker control something attack sort strategy.,64.36,2024-04-15 11:04
91,819,Southern system him court best.,74.5,2024-03-07 22:48
70,564,Small data people maybe either these money.,77.07,2024-01-03 14:05
70,911,Attention foreign admit model film look.,76.25,2024-04-12 02:46
91,363,Always want scene class spend measure real blood.,89.32,2024-01-07 20:10
100,736,Indicate idea everybody figure exist author college you.,91.88,2024-02-08 11:48
70,770,Read describe amount letter resource.,62.57,2024-02-05 21:07
78,171,Language matter black half.,75.16,2024-02-02 17:44
87,130,Since then human enter clearly describe team type.,90.24,2024-01-10 21:18
31,76,Least author management today.,79.99,2024-04-10 17:39
58,863,Race employee writer artist open modern society author.,64.92,2024-01-13 09:13
78,392,Environment last resource so.,68.8,2024-04-09 22:37
58,25,Building professor go say truth bank person political.,65.73,2024-01-30 19:54
29,769,Western before cause.,50.8,2024-01-19 09:55
79,794,One go research specific technology business least.,81.92,2024-02-18 06:23
19,461,Audience century occur exist education.,93.26,2024-01-20 15:49
17,665,Light he work view.,89.69,2024-04-05 16:59
70,251,Scene somebody suffer financial.,57.12,2024-02-17 18:32
34,926,Reveal peace pick.,71.95,2024-01-08 12:45
87,409,Push these herself need tell benefit.,73.32,2024-04-11 00:16
84,381,Economic itself shoulder picture PM.,94.12,2024-03-29 07:16
84,134,What style hope.,70.79,2024-03-04 22:18
7,252,Ahead at tree.,97.39,2024-01-24 23:51
12,303,Face pass concern lose where.,68.7,2024-01-08 01:32
57,477,Positive bag speech decision third would TV.,95.47,2024-04-21 23:42
79,80,Fill age war southern college north.,79.91,2024-02-09 00:30
57,841,Big major day type what give.,75.63,2024-02-04 23:59
86,42,Industry political across environment front himself development.,96.7,2024-03-09 18:25
86,70,Any game side old image production environment.,67.62,2024-03-31 14:16
29,318,Table these reach one project.,96.1,2024-04-16 04:42
20,12,Lose those individual attorney recently budget feel.,99.6,2024-01-20 03:38
19,763,Sometimes same pretty.,85.56,2024-03-23 16:36
45,62,Piece him hair help.,51.23,2024-02-28 05:49
31,646,Into dream town break short agreement question.,76.05,2024-01-31 02:59
3,460,Almost huge capital human.,70.17,2024-01-30 22:54
