QuizID,QuestionID,Answer,FileID,OrderNumber,IsCorrect
8,1,Usually professor entire.,23,5,False
8,1,Toward off middle vote make job.,53,5,False
8,1,Music about west stand.,44,2,True
8,1,Building movement yard four field area young.,,3,False
8,1,Half table future subject.,,2,False
8,2,Those just country along.,5,3,False
8,2,Rest or majority.,49,3,True
8,2,Society poor matter who.,66,3,False
8,2,Whom administration fund front return if deep.,,1,False
8,3,Add plan toward star.,98,5,True
8,3,Lay color opportunity stand.,26,2,False
8,3,Box organization past as.,26,5,False
8,4,Share or friend building center.,,1,False
8,4,Collection have close during old card.,6,2,True
8,4,Partner sing administration main according conference become prepare.,73,2,False
8,5,Reality other response partner because step feeling industry.,,3,False
8,5,Dog brother morning believe gun seven music.,,1,False
8,5,Less phone decade apply both.,96,5,False
8,5,Rate why listen computer.,45,5,True
8,6,Analysis science understand compare size machine break.,,4,True
8,6,Return or for cup quality.,,1,False
8,6,Discover body direction down include customer.,68,2,False
8,6,Available one approach job democratic.,,5,False
8,6,Lawyer hold carry rest place wish dark camera.,38,3,False
8,7,Beat tax majority yet option.,,5,False
8,7,Evidence role save east force often through.,,2,False
8,7,Watch trial together individual analysis yard safe mean.,52,5,True
8,8,Dream your administration protect class.,14,2,False
8,8,Teach section agency lawyer sign them if.,,5,False
8,8,Phone region ability physical his real.,,1,True
8,8,Allow international especially watch my some skin.,25,5,False
8,8,Per friend usually method.,,3,False
8,9,Draw box long voice oil where.,40,4,True
8,9,Send set fly today me.,,5,False
8,9,Everyone as generation main money but.,72,5,False
8,9,Question mouth factor per son war speak.,,4,False
8,9,Could this beautiful hospital.,40,2,False
8,10,Age indicate radio use listen information scene again.,,4,False
8,10,As the discussion water popular.,,3,True
8,10,Official pretty skin main program morning.,,5,False
8,10,Knowledge fight car smile commercial employee machine.,82,5,False
8,11,Claim bring year off.,,1,False
8,11,Employee continue none alone first gas.,64,1,True
8,11,Large wish move building agent use.,4,5,False
8,11,Way until choose wife.,,2,False
8,11,Wish former relate listen face want wonder.,,2,False
8,12,Begin area political on develop very.,,3,True
8,12,Cultural base support quality whatever.,78,2,False
8,12,Hour make owner memory argue project huge.,,2,False
8,12,Hard health expect goal within them.,94,4,False
8,12,Democratic thousand score indeed.,28,4,False
8,13,At whether series because important trial.,66,3,True
8,13,Company left nothing trip current strategy.,,4,False
8,13,Network amount step strong fight.,83,3,False
8,14,Budget everyone yes.,48,4,False
8,14,Out gun lose job.,66,3,False
8,14,Physical live reason build mention.,66,4,False
8,14,Adult employee ok certainly leave really group.,,4,False
8,14,Evening information treatment.,64,2,True
8,15,Step rate feeling rate read benefit.,19,2,False
8,15,Goal century carry example single include TV clear.,,5,False
8,15,Choice determine could today party.,53,3,True
8,15,Suffer Republican reduce sort individual trouble bring.,,4,False
8,15,Type look find guy.,75,2,False
8,16,Decide wonder interesting several.,17,5,False
8,16,Back simple serious amount.,7,2,False
8,16,Allow process or light.,66,4,True
8,17,Before suffer walk.,,4,False
8,17,Girl civil may rock drop now between official.,52,5,True
8,17,More respond who.,79,5,False
8,18,Continue pull blue strong wonder interest method imagine.,48,4,True
8,18,Buy book career several relate news.,2,2,False
8,18,Bank management his.,77,1,False
8,18,Outside find wish know network fact talk.,,5,False
8,19,Just probably be century husband opportunity.,99,4,False
8,19,Scientist throughout collection hair.,,1,True
8,19,Full organization wrong but study.,61,4,False
8,19,Everything require old event smile popular hundred.,54,2,False
8,19,Project wear would memory challenge lawyer business.,,2,False
8,20,Set produce mind man.,,2,False
8,20,Dark product make energy gas teacher national.,73,5,False
8,20,Wrong they budget.,48,2,False
8,20,Fire heavy least allow news team field.,,3,True
8,20,Man care resource maintain.,54,5,False
25,1,Hot manager wife pay.,,4,False
25,1,Short expect article opportunity campaign hand.,,5,False
25,1,Agree through game best generation group goal product.,47,5,True
25,1,Doctor fine be read than.,,3,False
25,2,After like against first now.,57,2,True
25,2,Occur space beyond push from me.,65,4,False
25,2,Coach federal wide cut player wind.,20,4,False
25,2,Subject movie explain answer.,18,4,False
25,2,I difficult sea begin such behind front.,8,3,False
25,3,Sound item music customer I person law.,,4,True
25,3,Congress affect reflect television officer defense while.,99,2,False
25,3,Environmental point speak table trade various risk.,,1,False
25,3,Mission hair challenge character.,,2,False
25,3,Such improve team treat plant.,78,2,False
25,4,Instead town dark evening ahead smile.,11,3,True
25,4,Probably compare system white magazine.,,4,False
25,4,Area to finish.,66,1,False
25,4,Test too imagine guy price.,70,3,False
25,4,However style successful door.,,3,False
25,5,South season very design blood degree.,,2,True
25,5,Keep effect operation make hear.,71,1,False
25,5,First interest radio white.,,1,False
25,5,Guy resource start again.,,4,False
25,5,Alone science sometimes area true public education his.,,2,False
25,6,Father teacher civil keep first.,,1,True
25,6,Smile ever bag single man say.,48,2,False
25,6,Response theory star station recognize media.,,4,False
25,6,Inside role natural force receive seven.,89,3,False
25,6,Picture social carry husband.,,1,False
25,7,Reach step son cup.,,3,False
25,7,Happen hour help strong now again.,73,3,True
25,7,Type positive phone.,63,2,False
25,7,Wind cup red collection.,33,2,False
25,7,Peace outside chance when color note.,31,5,False
25,8,Course technology site explain management.,,5,True
25,8,Issue deal democratic station.,61,3,False
25,8,Industry impact certainly face energy.,,5,False
25,9,Believe arrive four dog.,,2,False
25,9,You vote whose our security animal.,67,4,False
25,9,Mean herself within provide car.,64,3,True
25,9,American conference college manage fund life bed.,58,1,False
25,9,Item employee finish without material wind exactly.,,1,False
25,10,New type PM key.,,5,False
25,10,Chance discover along employee relationship.,70,3,True
25,10,Break time manager kid writer night.,,4,False
25,11,Defense your above short Congress turn east marriage.,53,3,False
25,11,Thought ago race quite.,,3,False
25,11,Health upon black food ahead least.,73,2,False
25,11,Law western order accept wide prevent week.,92,3,True
25,12,Weight high human concern whole tend become.,60,1,True
25,12,Clear single expect sell pressure.,,4,False
25,12,Fear song save TV.,,4,False
25,13,Behavior message wind put positive require.,,1,True
25,13,Money positive base life bad soon feel.,27,3,False
25,13,Range feel eat into.,57,3,False
25,13,Answer baby and blue interesting behind produce.,,3,False
25,13,Spend green one shoulder administration scientist leg.,,1,False
25,14,Game truth special decision back.,99,3,False
25,14,Else pull its adult house actually pretty least.,,5,False
25,14,Than whole own main peace wind.,,1,True
25,15,Decide possible power.,81,3,False
25,15,Success teach Mrs beat show challenge.,,1,True
25,15,Against coach check reflect white likely.,43,2,False
25,15,One cut notice street anything account piece.,,3,False
25,15,Woman support say other never fact.,,3,False
25,16,Threat bring performance position large job.,,2,False
25,16,Explain court gas discussion.,16,2,False
25,16,Onto rate two table resource.,26,2,False
25,16,Capital fall represent where strategy pull same.,12,1,True
25,16,Son suddenly perform executive see project can.,3,4,False
32,1,Thing ground city still thus allow.,,3,True
32,1,Front box dinner no.,94,3,False
32,1,Election future great another there environment character.,16,5,False
32,2,Among black picture that treat church factor.,,5,False
32,2,Seven marriage that child hair standard.,,2,False
32,2,Summer keep indeed shoulder.,,5,False
32,2,Strong list expert commercial entire.,,3,True
32,3,Want kind show response military attorney.,,3,False
32,3,Fire word clearly article service produce.,,1,False
32,3,Total around place require.,44,3,True
32,3,Win information though red them return finish.,88,4,False
32,4,Thought sit identify culture feeling already.,,5,False
32,4,Hope rest they minute must degree.,52,5,False
32,4,Necessary miss serious civil agreement someone or.,,2,True
32,4,Strategy fight institution measure rule.,,4,False
32,5,Not thus physical mouth other go expect size.,,3,False
32,5,Public research mind easy foreign old state.,,2,True
32,5,Lawyer chair international include begin interesting.,17,3,False
32,5,Live land hard moment.,,5,False
32,6,Can relate tell brother defense list second.,,1,False
32,6,Hard weight own impact building occur American.,68,1,True
32,6,Brother figure hear family.,36,3,False
32,6,Social central operation.,,1,False
32,7,Give that individual of not too sit.,,4,False
32,7,Strong street car catch PM seven project.,,3,True
32,7,Term foot son professor.,42,1,False
32,7,Hold too fund animal provide kitchen.,34,4,False
32,8,Western my serious whatever miss.,,1,False
32,8,Me affect probably mother while ever day.,49,4,True
32,8,Know southern parent I and technology age join.,25,4,False
32,9,Arrive which consider require.,,2,False
32,9,Hope floor include food heart.,32,4,False
32,9,Appear dream others door.,46,1,True
32,9,Sell his boy art let imagine machine.,30,4,False
32,9,Plant trial affect never only big.,21,3,False
32,10,Later a let stop eye will a.,,5,True
32,10,Event economy quite yourself successful defense subject.,,1,False
32,10,Animal school none feel house.,63,1,False
46,1,Play woman remain event production focus.,16,4,False
46,1,Least outside administration reality position.,,5,True
46,1,Participant above act.,,2,False
46,1,Including time reflect several.,,3,False
46,1,Ball theory prepare much throughout staff knowledge.,,1,False
46,2,By have cover.,72,2,False
46,2,Develop after exactly.,,4,False
46,2,Course staff personal space determine woman.,8,5,False
46,2,Already manage region paper according worker.,,3,True
46,3,Employee now direction mission.,,2,False
46,3,Court question yeah realize mouth.,,5,False
46,3,Quite third ability interview pull.,,1,True
46,4,Guess service this different everyone information large.,,3,False
46,4,Hot free they.,,1,True
46,4,Wrong difficult ready.,5,2,False
46,4,True culture forget as.,25,1,False
46,4,Benefit lose space or phone free economy blue.,12,1,False
46,5,Often beat art almost finish summer assume.,,1,False
46,5,Artist sort area particularly.,77,1,False
46,5,Assume quality nice far high benefit.,83,4,False
46,5,Do outside process action himself somebody.,,1,False
46,5,People fund visit situation law foreign court bill.,,3,True
46,6,Job where senior find those simply challenge final.,38,1,False
46,6,Fact wife military price certain down.,12,2,False
46,6,Teach instead crime customer training size game.,24,5,True
46,7,Turn police really level defense.,,4,True
46,7,Same weight former science day contain wrong.,21,2,False
46,7,Act group never central key place.,,2,False
46,7,Analysis ahead cup company those responsibility.,,3,False
46,8,Very figure drive special produce wait.,,5,False
46,8,Think there assume certain under some court her.,48,5,False
46,8,Fish involve player TV several onto.,,4,False
46,8,Family chance easy picture evidence call meet.,,1,True
46,8,Though decide bank likely professional ask meet seem.,,5,False
46,9,Detail data tell how fill.,40,1,False
46,9,Number very hear nearly care base.,12,1,True
46,9,Million discover American mention from later.,,2,False
46,9,Important source first him conference doctor.,,3,False
46,10,Better author although customer cultural.,,5,False
46,10,Economic seat shoulder suddenly course page.,92,3,False
46,10,Your sell science treatment.,62,5,True
46,11,Line mention seven.,,1,False
46,11,Tend dinner rich decide.,,3,False
46,11,Middle skill serious reveal left.,,1,False
46,11,Fine could show recently.,81,4,False
46,11,Just table air catch them.,,5,True
51,1,Federal only nothing allow cause with yes.,,5,False
51,1,Picture owner part term woman daughter hospital.,6,4,True
51,1,Hit little forget while police fight commercial.,28,4,False
51,1,Concern step owner agree current treat history.,,2,False
51,1,Do process attorney arm million.,,1,False
51,2,Candidate day it report little.,,5,True
51,2,Offer financial data respond learn cut yard knowledge.,97,2,False
51,2,Painting east forget notice make leg.,62,4,False
51,2,Say explain thing.,31,1,False
51,3,Recognize believe recognize analysis.,14,4,False
51,3,Event physical factor trouble.,,3,False
51,3,Training in seven building hard.,,3,False
51,3,Mean single improve close.,,2,False
51,3,Media left available reason see.,,5,True
51,4,Nature drug wear cell.,,2,True
51,4,Success color adult beyond family.,94,1,False
51,4,Scientist collection provide action event key concern.,36,1,False
51,5,Hospital final appear above.,,2,True
51,5,Short up hear draw before instead.,69,5,False
51,5,Front court protect.,,5,False
51,5,When benefit structure professional right.,48,5,False
51,6,House into discussion black follow address pressure.,89,5,False
51,6,Home learn at.,59,1,True
51,6,Practice hard attack despite feeling.,,3,False
51,7,Forward play this fish.,48,5,False
51,7,Attack adult treatment large memory score me.,,4,False
51,7,Discussion pattern to.,25,5,False
51,7,Door investment during bag case.,5,2,True
51,7,Father charge daughter also type our watch.,,4,False
51,8,Drug much trade professor eat reach.,,3,False
51,8,Part high focus kind accept.,,1,False
51,8,Attorney court plant center daughter begin or.,,1,True
51,8,Door back right find return.,19,3,False
51,8,Interest paper field office whose.,11,4,False
51,9,Set standard soldier after high take.,,3,False
51,9,Organization check risk either less.,,5,True
51,9,Exist no lose four resource cultural trouble.,83,2,False
51,9,Actually may rise.,39,5,False
51,9,Identify indeed house score himself film would.,,2,False
51,10,Whatever side seem give remember play.,23,3,False
51,10,Recent prepare unit save drug alone.,97,3,False
51,10,Piece put recently population end lay.,,3,False
51,10,Effect own weight success.,,2,False
51,10,Bring begin represent.,16,2,True
51,11,Only safe sell under thank body.,76,2,False
51,11,Since general central see us huge final.,45,1,False
51,11,Staff ability attorney recent.,64,5,False
51,11,Indicate explain issue computer control care main.,,2,False
51,11,Way late sport control arrive consumer service.,,4,True
56,1,Garden one long pull.,34,4,False
56,1,Act entire western program.,96,2,True
56,1,Best mission account.,56,5,False
56,2,Arm green form beyond lead recognize rise thousand.,,1,False
56,2,Agent but most week.,,4,True
56,2,Happy peace probably little including.,57,4,False
56,3,Do machine school soldier give voice.,,5,True
56,3,Would tax toward safe family crime century.,37,4,False
56,3,Then size respond all marriage beautiful strategy.,,3,False
56,3,Would level to western lot music during.,54,3,False
56,4,Detail election live today but.,23,5,False
56,4,Two plant man somebody.,,4,False
56,4,The use short over popular help.,,1,True
56,5,Seat break happy table west.,,1,False
56,5,Say financial operation couple hold interest side.,,2,True
56,5,Mind own develop house.,14,4,False
56,5,System firm staff father despite quite challenge.,67,4,False
56,5,Certainly program soon reflect out.,,5,False
56,6,Wonder four still decision.,18,2,False
56,6,Red apply tend condition maintain.,,3,True
56,6,Federal spring treatment city again hot.,,3,False
56,6,Question wrong serious hospital month executive.,16,2,False
56,7,Leader clear case receive fact.,,5,False
56,7,Decide source crime prepare.,,2,False
56,7,Rise offer question write challenge wear.,,4,False
56,7,Quickly collection argue green listen war.,,1,True
56,8,However few other common seat.,6,2,False
56,8,Sing ten practice every.,83,3,False
56,8,Happen build bar majority protect meeting.,4,5,False
56,8,Only would look.,,1,False
56,8,Some Congress machine popular.,53,2,True
59,1,Major million once research so buy send.,58,5,False
59,1,Congress out conference never.,11,3,False
59,1,But can deal claim none surface.,,4,False
59,1,Be by fear.,,5,False
59,1,Commercial with probably eat animal watch toward.,,4,True
59,2,Production and already center.,89,2,False
59,2,Whatever own democratic grow campaign.,73,5,False
59,2,Instead near end power clear lay war put.,,5,False
59,2,Movie audience run yet.,,5,True
59,3,Ago page back by body nature.,,2,False
59,3,Forget become training sing.,,4,False
59,3,Than difficult act help.,90,3,False
59,3,Her bit understand compare rock.,15,1,False
59,3,Open southern believe give occur.,94,2,True
59,4,Necessary think I or else rather require.,1,2,False
59,4,Central nothing environment truth.,,1,False
59,4,Religious eat participant religious consumer worry.,,5,True
59,4,Maybe every into walk thing sport figure.,14,3,False
59,5,Offer be experience upon.,24,3,True
59,5,While interest meet.,,4,False
59,5,Look middle your thousand.,61,2,False
59,5,If pattern treat second.,,4,False
59,5,Reflect see each school week statement.,66,3,False
59,6,Here health both trial economic much short.,,1,False
59,6,Face low enter able.,,1,False
59,6,Notice design fight value poor stay along leg.,,5,True
59,6,Summer arm accept leave fear blue glass reveal.,,2,False
59,6,Great big man be method child.,,3,False
59,7,Movie especially writer prevent.,47,4,False
59,7,Class government its grow that cup.,67,3,True
59,7,Expect card inside former all.,47,1,False
59,8,Maybe type successful home body blue.,24,3,False
59,8,Call general add.,,3,True
59,8,Appear stop involve others account.,66,2,False
62,1,Listen situation billion room particularly.,,3,False
62,1,Yeah option play director car.,42,4,False
62,1,Event court certainly.,66,3,False
62,1,Pattern before anything.,,2,False
62,1,Modern record woman develop international article.,24,3,True
62,2,Experience exactly paper issue edge.,,2,True
62,2,Hair fight best add necessary technology former.,,1,False
62,2,Sea open painting draw every once.,26,5,False
62,2,Thought candidate sea build.,,3,False
62,2,Why this stage cover knowledge better walk people.,,5,False
62,3,Window thus large response treat attack industry.,,1,False
62,3,So cold ever whose face what article.,60,1,False
62,3,Scientist however range that will.,,1,True
62,3,Just meeting none hope.,,4,False
62,3,Even contain civil design recent these so lay.,,5,False
62,4,Politics eat statement.,96,4,False
62,4,Break possible plan win foot watch this.,89,4,False
62,4,Reveal impact particularly foot arm.,,3,True
62,5,Blood second high president thank plant nearly stage.,,3,True
62,5,Food daughter picture teach house.,89,3,False
62,5,Discussion risk happy total behavior consider continue.,,4,False
62,6,Could century interview lawyer population I right case.,,2,False
62,6,Owner help again.,,5,False
62,6,Shake popular analysis.,51,1,False
62,6,Show environment voice outside society.,38,5,True
62,7,Service throughout spring film look during myself.,70,2,False
62,7,Physical but stay bill father.,,1,True
62,7,Though indeed ability difference dinner history government.,88,5,False
62,7,Difficult these his this state.,,5,False
62,8,Type turn time page concern most.,,1,False
62,8,Consider interesting throw reach person expert then even.,,5,False
62,8,Product usually specific represent baby able value.,,2,False
62,8,Sing chair challenge land.,,1,False
62,8,Spring both into risk certain follow camera.,,3,True
62,9,Market move mouth start his ok instead.,96,2,False
62,9,Since specific despite beautiful gun data sure.,,5,False
62,9,Next whatever TV arrive glass support.,,5,True
64,1,Section bring receive central.,,3,False
64,1,Receive interesting approach.,78,5,False
64,1,Production available study that.,37,1,True
64,1,Chair center each.,,5,False
64,2,Like reveal know population actually.,,3,False
64,2,Choose thing allow seem.,,4,True
64,2,Civil how interest way lawyer represent election.,84,2,False
64,3,Painting baby realize local present if herself.,,2,False
64,3,Sound position crime.,17,1,False
64,3,Bit guy single friend.,18,4,True
64,3,Executive must assume others series.,10,2,False
64,4,Fire want across.,,5,False
64,4,Seem when matter fire hospital green.,,4,True
64,4,Reflect best imagine scientist.,23,4,False
64,4,Maybe simple age somebody.,,2,False
64,5,Year maybe yeah participant.,4,5,False
64,5,Us game size fund growth task issue.,,1,False
64,5,Dream young parent when note yes.,18,5,True
64,5,Source central that natural.,,5,False
64,5,Material lawyer college fast.,31,4,False
64,6,Without shake kind under vote will major.,60,4,False
64,6,Teacher husband tax true can happen.,,4,True
64,6,Weight health radio media enjoy then radio per.,,3,False
79,1,Now take development them.,,1,False
79,1,Give life movement stand.,73,1,False
79,1,Beat rule true two.,36,4,True
79,1,Current forget fish you main reduce.,64,1,False
79,1,Boy lawyer nation we certainly degree nothing.,,2,False
79,2,If fear Republican the modern.,77,2,False
79,2,Contain approach time investment white.,,3,False
79,2,Clearly glass industry little read.,,2,True
79,3,Pattern food worry voice sea say first character.,76,2,True
79,3,Value material first society purpose enjoy reveal.,,4,False
79,3,Wall tax plant police official already second.,,2,False
79,3,Information national coach help girl.,,1,False
79,4,Power lay improve goal my mission share.,,3,False
79,4,Unit learn health need.,48,4,False
79,4,Myself high suddenly read.,,2,False
79,4,Plant reduce visit town between because.,36,4,True
79,5,Me south property system deep since.,68,3,True
79,5,High crime light buy whose trial include.,,3,False
79,5,Account hear difference exist they enough.,,1,False
79,5,Pull above training allow ago so.,,4,False
79,5,Star outside friend where year drop wind.,66,3,False
79,6,Tough military join between song mean.,8,1,False
79,6,Officer hot several true study city follow behavior.,67,1,False
79,6,Join pick order.,,2,True
79,7,Play sing cost present develop create subject.,7,5,True
79,7,Side process ever various physical point.,90,1,False
79,7,Term book until but center energy Congress back.,48,5,False
79,8,Speak conference act condition note parent all.,,1,False
79,8,Year low pass national citizen score.,,4,False
79,8,Cover ahead age memory.,,2,True
79,8,Describe half together ahead.,,1,False
79,9,Present level speak job watch two economic.,,2,False
79,9,Reach thought exactly hotel on.,62,2,True
79,9,Find some west maintain third interest section staff.,82,4,False
79,10,Good air conference follow so group authority.,56,3,False
79,10,Head single business five action forget.,9,1,False
79,10,Nothing focus discussion at exist defense design.,,1,True
80,1,Instead buy commercial force him.,,3,False
80,1,Again adult situation office above left capital.,,4,False
80,1,Already mouth month front administration like.,,4,True
80,2,Successful visit bill difference.,49,4,False
80,2,Catch year technology.,,3,True
80,2,Difficult because right speech staff Mr.,,1,False
80,2,Various test employee.,,5,False
80,2,Book water avoid.,58,3,False
80,3,Pm property miss drive long majority.,,4,False
80,3,Focus room difficult enough fast.,,4,True
80,3,Good structure drug positive.,,2,False
80,3,Reason avoid manager defense provide.,24,1,False
80,4,Black candidate true history laugh per data.,,4,False
80,4,Could everyone clearly film thank possible.,4,3,False
80,4,Leave blue book admit.,,1,True
80,5,Kid have any.,9,1,False
80,5,Rule institution family idea order morning.,,1,True
80,5,Million body anyone eat book boy time.,31,2,False
80,5,Entire assume big difficult per respond hot.,80,1,False
80,6,Explain about continue traditional performance school system reach.,13,1,False
80,6,Fire attorney cost tonight.,8,2,False
80,6,While program into again.,,4,True
80,7,Standard note wrong.,,2,False
80,7,Moment cold chair behind fight.,42,1,True
80,7,Laugh same wrong either main hair.,,2,False
80,7,Still feeling free.,89,3,False
80,7,Simple tax total other both rate rock.,,2,False
80,8,Scientist wind grow season create western police.,62,1,False
80,8,Theory quickly tonight last when.,22,1,True
80,8,Company travel give former operation war everybody.,,4,False
80,8,American mind gas partner item.,18,3,False
80,9,Field explain son administration.,76,2,False
80,9,Design stay but.,80,3,False
80,9,Figure involve produce a edge go exist.,,1,True
80,10,Institution whom better end few financial.,,5,False
80,10,Job then source cause should economic indicate.,,2,False
80,10,Feeling beat note pick national.,24,1,True
